2.38936 2.38905 2.38669 2.38387 2.38356 2.37997 2.37981 2.38117 2.38417 2.38764 2.39302 2.39507 2.39565 2.39345 2.39106 2.38988 2.38765 2.38661 2.38682 2.3864 2.38426 2.38034 2.37708 2.37772 2.3791 2.3806 2.38256 2.38388 2.38394 2.38501 2.388 2.38795 
2.71245 2.7121 2.70957 2.71053 2.71043 2.71097 2.71085 2.71215 2.71428 2.71753 2.72079 2.72219 2.72126 2.72071 2.71956 2.71684 2.71618 2.71667 2.71835 2.71948 2.71967 2.71719 2.71546 2.71519 2.71578 2.71491 2.71427 2.71256 2.7132 2.71338 2.71232 2.71295 
2.98039 2.97816 2.97532 2.97346 2.97559 2.97569 2.97847 2.9814 2.98482 2.98641 2.98886 2.98927 2.98957 2.98841 2.98755 2.98829 2.9881 2.98902 2.9911 2.9931 2.99411 2.99426 2.99322 2.99206 2.98988 2.98855 2.98713 2.98606 2.98301 2.98104 2.9816 2.9803 
3.36944 3.36709 3.3634 3.36503 3.36736 3.37142 3.37422 3.37664 3.37789 3.37796 3.37739 3.37671 3.37553 3.37668 3.37799 3.37791 3.38005 3.38262 3.38593 3.38929 3.39278 3.39492 3.39587 3.395 3.39296 3.38952 3.38586 3.38237 3.3809 3.37776 3.37384 3.37181 
3.69531 3.69155 3.68815 3.68693 3.68937 3.69146 3.69547 3.6985 3.70023 3.69917 3.69831 3.6973 3.69767 3.69777 3.69914 3.70215 3.70404 3.7061 3.70864 3.71143 3.71455 3.71787 3.71882 3.7182 3.71535 3.71294 3.71078 3.70884 3.70507 3.70184 3.69999 3.69728 
4.21167 4.20895 4.20507 4.20617 4.20774 4.21156 4.21399 4.2157 4.21556 4.21406 4.21167 4.21018 4.20932 4.21128 4.21384 4.21526 4.21864 4.2216 4.22442 4.22749 4.23108 4.23418 4.2359 4.23583 4.2345 4.23169 4.22857 4.22603 4.22496 4.22175 4.2175 4.2146 
4.75526 4.75364 4.75325 4.75221 4.75167 4.75234 4.75308 4.75452 4.75465 4.75441 4.75284 4.75212 4.75202 4.75244 4.75305 4.75519 4.75618 4.75712 4.7576 4.75794 4.75863 4.75959 4.75993 4.75999 4.75934 4.75931 4.75903 4.75935 4.75804 4.75776 4.75641 4.75589 
5.95367 5.95228 5.95203 5.95097 5.95037 5.95099 5.9514 5.95253 5.95259 5.95222 5.95107 5.95067 5.9505 5.95079 5.95141 5.95302 5.9539 5.95466 5.95507 5.95554 5.95603 5.95659 5.95677 5.95683 5.95624 5.95636 5.95643 5.95679 5.95578 5.95558 5.95451 5.9541 
6.59015 6.59377 6.59824 6.59715 6.59345 6.59196 6.58952 6.58864 6.58855 6.58954 6.58814 6.5876 6.58665 6.58612 6.58449 6.58396 6.58237 6.58087 6.57869 6.5762 6.57438 6.5733 6.57282 6.57327 6.57437 6.57595 6.57712 6.57961 6.58081 6.58409 6.58488 6.58783 
6.68718 6.68796 6.69073 6.69154 6.69176 6.69031 6.6863 6.68618 6.68461 6.6854 6.68344 6.68529 6.68184 6.68135 6.68161 6.67846 6.67695 6.67525 6.67365 6.67411 6.67321 6.67259 6.67225 6.67275 6.67313 6.67388 6.67442 6.67538 6.67601 6.67733 6.68124 6.68163 
6.75763 6.75768 6.76205 6.7611 6.76087 6.76238 6.75795 6.75846 6.75563 6.75242 6.75427 6.75694 6.7546 6.75295 6.74991 6.74953 6.74864 6.7499 6.74862 6.74903 6.74863 6.74822 6.74721 6.74812 6.74927 6.74967 6.75067 6.75198 6.75233 6.7489 6.75059 6.75551 
6.8058 6.80441 6.80403 6.80571 6.80539 6.80615 6.80622 6.80769 6.80858 6.80922 6.80876 6.80996 6.81057 6.81106 6.81098 6.81109 6.81089 6.81021 6.81028 6.81095 6.81147 6.81158 6.81232 6.81002 6.81011 6.81013 6.81044 6.80763 6.80962 6.80924 6.8083 6.80875 
6.81659 6.81839 6.82408 6.82698 6.82188 6.82192 6.82129 6.82253 6.82373 6.82796 6.82672 6.82867 6.82971 6.83108 6.83079 6.83099 6.83116 6.83022 6.83077 6.83316 6.8323 6.83236 6.83474 6.83085 6.83023 6.82994 6.82954 6.82816 6.82802 6.8282 6.82347 6.82252 
6.13113 6.12625 6.12649 6.12682 6.12667 6.12657 6.12676 6.12666 6.12688 6.12687 6.12687 6.12675 6.12671 6.12676 6.1267 6.12667 6.12646 6.12641 6.12637 6.12637 6.12632 6.12631 6.12631 6.12627 6.12627 6.12626 6.12626 6.12628 6.12627 6.12626 6.12627 6.12602 
5.74181 5.74027 5.73387 5.73376 5.73363 5.73361 5.73369 5.73367 5.73377 5.73378 5.73377 5.73374 5.73371 5.73372 5.73366 5.73364 5.73355 5.73351 5.73347 5.73347 5.73345 5.73341 5.7334 5.73341 5.7334 5.73341 5.73341 5.73344 5.73344 5.7335 5.7336 5.73398 
5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 5.7183 
